ID,License Plate Number,Station Code,Model_Id
101, torc566,1001,1
102, torc212,1001,8
103, torc631,1001,7
104, torc522,1001,4
105, torbb10,1002,2
106, torbb11,1002,7
107, torbb12,1002,8
108, tory011,1003,3
109, tory016,1003,4
110, tory017,1003,5
111, tore101,1004,5
112, tore102,1004,7
113, ottp111,1005,2
114, ottp112,1005,7
115, ottp113,1005,8
116, otta101,1006,1
117, otta102,1006,7
118, otta103,1006,6
119, mocs300,1007,3
120, mocs302,1007,7
121, mocs303,1007,7
122, mono201,1008,8
123, mono202,1008,4
124, mono203,1008,5
125, mowe501,1009,8
126, mowe502,1009,8
127, mowe503,1009,7
128, mowe504,1009,1
