ID,From Date,To Date,Car ID,Old Reservation ID,Status
22001, 2017-09-01 09:00:00, 2017-09-03 17:00:00,101,, Completed
22002, 2018-03-17 16:00:00, 2018-03-25 16:00:00,101,, Cancelled
22003, 2018-03-19 10:00:00, 2018-03-23 20:00:00,101,22002, Confirmed
22004, 2018-03-01 08:00:00, 2018-03-10 20:00:00,101,, Ongoing
22005, 2017-12-15 13:30:00, 2017-12-25 18:00:00,101,, Completed
22006, 2017-11-01 06:00:00, 2017-11-04 12:00:00,102,, Completed
22007, 2018-02-23 10:00:00, 2018-03-05 17:00:00,102,, Cancelled
22008, 2018-03-10 10:00:00, 2018-03-16 20:00:00,102,22007, Confirmed
22009, 2018-02-25 09:00:00, 2018-03-10 21:00:00,103,, Ongoing
22010, 2017-12-09 14:00:00, 2017-12-11 17:00:00,103,, Completed
22011, 2018-02-01 08:00:00, 2018-02-05 16:00:00,104,, Cancelled
22012, 2017-12-25 09:00:00, 2018-01-05 19:00:00,106,, Completed
22013, 2018-04-23 09:00:00, 2018-05-01 14:00:00,106,, Confirmed
22014, 2018-02-19 08:00:00, 2018-02-23 20:00:00,107,, Cancelled
22015, 2018-02-21 08:00:00, 2018-03-10 20:00:00,107,22014, Ongoing
22016, 2017-10-09 08:00:00, 2017-10-09 21:00:00,107,, Completed
22017, 2018-06-03 07:00:00, 2018-06-20 15:00:00,107,, Confirmed
22018, 2018-01-14 09:00:00, 2018-01-20 14:00:00,109,, Cancelled
22019, 2018-02-01 09:00:00, 2018-02-03 16:00:00,111,, Completed
22020, 2018-02-26 06:00:00, 2018-03-07 12:00:00,113,, Cancelled
22021, 2018-02-28 11:00:00, 2018-03-08 23:00:00,113,22020, Ongoing
22022, 2017-07-02 09:00:00, 2018-07-05 21:30:00,113,, Completed
22023, 2018-02-05 08:00:00, 2018-02-08 18:00:00,114,, Completed
22024, 2018-04-02 16:00:00, 2018-04-06 16:00:00,116,, Confirmed
22025, 2018-03-03 07:00:00, 2018-03-15 23:30:00,116,, Ongoing
22026, 2018-01-01 07:00:00, 2018-01-01 17:00:00,118,, Completed
22027, 2018-04-04 09:00:00, 2018-04-06 15:00:00,119,, Cancelled
22028, 2018-02-14 13:00:00, 2018-03-25 23:00:00,119,, Ongoing
22029, 2017-09-26 08:00:00, 2017-10-03 20:00:00,119,, Completed
22030, 2018-03-26 10:00:00, 2018-03-29 16:00:00,123,, Confirmed
22031, 2017-12-21 06:00:00, 2017-12-28 22:00:00,124,, Completed
22032, 2017-09-22 16:00:00, 2017-09-23 08:00:00,126,, Cancelled
22033, 2017-09-23 14:00:00, 2017-09-23 17:00:00,126,22032, Completed
22034, 2018-01-01 22:00:00, 2018-04-05 14:00:00,127,, Ongoing
22035, 2017-12-07 09:00:00, 2017-12-13 12:00:00,127,, Cancelled
22036, 2018-03-24 10:00:00, 2018-04-02 21:00:00,128,, Confirmed
22037, 2017-09-25 09:00:00, 2017-09-27 20:00:00,103,, Cancelled
22038, 2017-09-25 09:00:00, 2017-09-27 20:00:00,104,22037, Completed
